PAPEL	COTAÇÃO	P/L	P/VP	PSR	DIV.YIELD	P/ATIVO	P/CAP.GIRO	P/EBIT	P/ATIV CIRC.LIQ	EV/EBIT	EV/EBITDA	MRG EBIT	MRG. LÍQ.	LIQ. CORR.	ROIC	ROE	LIQ.2MESES	PATRIM. LÍQ	DÍV.LÍQ/ PATRIM.	CRESC. REC.5A	DÍVIDA LÍQUIDA/EBITDA	VALOR DE MERCADO
ECIS4	145,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	1,53	1,53	34,90%	14,18%	1,38	12,48%	7,33%	0	129.346.000	0,38	4,66%	1,53	0
CLSC6	0,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	0	3.671.280.000	0,00	2,88%	""	0
ECIS3	211,65	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	1,53	1,53	34,90%	14,18%	1,38	12,48%	7,33%	0	129.346.000	0,38	4,66%	1,53	0
ARPS4	0,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	-14,08	-14,08	-4,92%	-11,59%	0,91	-6,64%	20,34%	0	-12.690.000	-1,24	-17,53%	-14,08	0
DAYC3	0,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	17,33%	0	3.009.030.000	0,00	8,15%	""	0
SASG3	0,98	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	0	0	0,00	0,00%	""	2.004.620.000
ENER5	6,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	3,09	2,65	25,22%	13,35%	1,58	19,45%	51,72%	0	1.167.120.000	3,89	11,31%	2,65	3.882
ENER3	10,50	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	3,09	2,65	25,22%	13,35%	1,58	19,45%	51,72%	0	1.167.120.000	3,89	11,31%	2,65	6.794
ENER6	12,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	3,09	2,65	25,22%	13,35%	1,58	19,45%	51,72%	0	1.167.120.000	3,89	11,31%	2,65	7.764
TEFC11	35,50	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	3,45	3,45	23,54%	14,18%	0,61	14,85%	46,72%	0	45.856.000.000	2,95	12,91%	3,45	69.083.000
CAFE4	0,50	0,00	0,00	0,071	0,00%	0,004	0,00	-0,13	0,00	-45,27	-53,49	-53,07%	2.163,80%	0,02	-2,81%	-64,17%	0	-377.387.000	-0,98	-11,30%	-53,33	1.092.270
CESP4	16,29	0,01	0,00	0,004	0,00%	0,000	0,00	0,02	0,00	6,86	2,94	21,51%	73,33%	3,12	2,53%	13,58%	0	7.939.080.000	0,51	-4,45%	2,93	5.680.500
MLPA12	40,00	0,01	0,00	0,001	0,00%	0,002	0,00	0,01	0,00	-2,06	-2,06	6,66%	8,92%	0,00	0,00%	45,13%	0	44.578.000	0,00	-7,51%	-2,08	187.680
MLPA4	45,00	0,01	0,00	0,001	0,00%	0,003	0,00	0,01	0,00	-2,06	-2,06	6,66%	8,92%	0,00	0,00%	45,13%	0	44.578.000	0,00	-7,51%	-2,08	211.140
CAFE3	2,00	0,02	-0,01	0,283	0,00%	0,015	-0,01	-0,53	-0,01	-45,67	-53,96	-53,07%	2.163,80%	0,02	-2,81%	-64,17%	0	-377.387.000	-0,98	-11,30%	-53,33	4.369.080
OIBR3	0,96	0,03	-0,02	0,100	0,00%	0,016	-10,88	-0,11	-0,01	-3,51	-4,76	-94,29%	302,17%	1,00	-19,90%	-58,90%	2.667.910	-16.316.400.000	-0,73	-19,90%	-4,61	316.917.000
BSCT3	4,05	0,04	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	9,05%	0	212.960.000	0,00	1,92%	""	680.311
CORR3	12,00	0,04	0,06	0,834	0,00%	0,017	0,03	-0,08	0,42	3,33	3,38	-1.057,66%	2.141,14%	4,25	-85,44%	152,84%	0	4.665.000	0,00	-42,09%	3,46	277.836
SULT4	0,43	0,06	0,01	0,029	0,00%	0,003	-0,01	-12,75	0,00	-17,23	-53,45	-0,23%	50,77%	0,27	-0,02%	17,87%	0	547.231.000	0,01	21,25%	-13,90	5.418.000
BPHA3	0,62	0,06	-0,24	-20,054	0,00%	0,995	-0,38	0,78	-0,20	1,60	1,43	-2.581,69%	-33.652,50%	0,06	401,01%	-402,50%	0	-292.294.000	-0,26	-53,39%	0,74	70.110.200
IGBR5	18,90	0,06	-0,04	3,248	0,00%	0,111	-0,11	-0,40	-0,03	-4,55	-4,76	-817,12%	5.379,32%	0,33	-57,99%	-60,10%	0	-650.957.000	-0,54	13,97%	-4,34	23.625.000
IGBR6	19,00	0,06	-0,04	3,266	0,00%	0,112	-0,11	-0,40	-0,03	-4,55	-4,76	-817,12%	5.379,32%	0,33	-57,99%	-60,10%	0	-650.957.000	-0,54	13,97%	-4,34	23.750.000
SULT3	0,56	0,07	0,01	0,038	0,00%	0,003	-0,02	-16,60	-0,01	-21,08	-65,40	-0,23%	50,77%	0,27	-0,02%	17,87%	0	547.231.000	0,01	21,25%	-13,90	7.056.000
PALF11	125,00	0,08	0,04	0,007	0,00%	0,005	-0,17	0,04	-0,01	2,84	2,84	19,51%	9,17%	0,89	16,10%	46,56%	0	3.055.110.000	3,00	5,97%	2,80	110.082.000
BRSR4	181,10	0,08	0,01	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	8,80%	0	10.410.000.000	0,00	4,22%	""	74.065.200
LREN4	105,00	0,09	0,01	0,008	0,00%	0,005	0,02	0,04	0,04	-0,57	-0,40	20,87%	8,29%	1,61	19,09%	11,11%	0	10.773.000.000	0,09	16,83%	-0,43	111.253.000
CREM4	48,00	0,11	0,01	0,002	0,00%	0,002	0,02	0,03	-0,02	3,55	2,09	8,05%	2,10%	1,29	11,36%	7,50%	0	189.701.000	1,58	-0,27%	2,07	1.539.700
AZUL4	3,30	0,13	-0,04	0,059	0,00%	0,044	-0,07	0,31	-0,02	9,79	5,79	19,02%	47,07%	0,27	17,82%	-30,20%	50.245.600	-30.435.300.000	-1,20	35,90%	5,61	1.148.850.000
TPRC6	105,00	0,13	0,01	0,015	0,00%	0,006	0,12	0,08	-0,03	0,00	0,00	19,44%	11,11%	1,34	9,67%	8,33%	0	22.847.800.000	0,14	2,29%	-0,03	254.208.000
ATMP3	1,20	0,14	0,09	0,089	0,00%	0,025	-0,53	-0,57	-0,05	-3,73	-9,90	-15,73%	65,56%	0,85	-4,70%	63,65%	9.150	368.994.000	0,66	-24,85%	-8,39	32.052.000
AMER3	5,85	0,14	0,24	0,082	0,00%	0,067	0,43	-1,08	-0,22	-1,66	-23,42	-7,58%	57,71%	1,62	-7,70%	166,62%	29.336.100	4.970.000.000	0,36	2,83%	-8,21	1.171.430.000
TPRC3	113,50	0,14	0,01	0,016	0,00%	0,007	0,13	0,08	-0,03	0,01	0,00	19,44%	11,11%	1,34	9,67%	8,33%	0	22.847.800.000	0,14	2,29%	-0,03	274.787.000
PALF5	236,60	0,15	0,07	0,013	0,00%	0,010	-0,32	0,07	-0,02	2,87	2,87	19,51%	9,17%	0,89	16,10%	46,56%	0	3.055.110.000	3,00	5,97%	2,80	208.362.000
PALF3	279,90	0,17	0,08	0,016	0,00%	0,012	-0,37	0,08	-0,02	2,88	2,88	19,51%	9,17%	0,89	16,10%	46,56%	0	3.055.110.000	3,00	5,97%	2,80	246.495.000
RSID3	3,03	0,22	-0,06	0,719	0,00%	0,120	-0,20	-5,15	-0,05	-35,03	-35,49	-13,95%	328,47%	0,45	-2,51%	-28,42%	141.308	-972.057.000	-0,39	2,20%	-30,28	60.600.000
SLED4	1,60	0,22	-0,04	0,207	0,00%	0,239	-0,10	-0,22	-0,04	-0,74	-0,90	-93,81%	92,72%	0,12	-2.259,94%	-18,07%	0	-381.277.000	-0,09	-48,69%	-0,63	15.416.000
CORR4	82,00	0,27	0,41	5,701	0,00%	0,118	0,20	-0,54	2,84	2,87	2,91	-1.057,66%	2.141,14%	4,25	-85,44%	152,84%	0	4.665.000	0,00	-42,09%	3,46	1.898.550
OIBR4	8,00	0,27	-0,16	0,830	0,00%	0,134	-90,67	-0,88	-0,09	-4,28	-5,81	-94,29%	302,17%	1,00	-19,90%	-58,90%	110.512	-16.316.400.000	-0,73	-19,90%	-4,61	2.640.970.000
ASSM4	6,10	0,29	-0,15	-8,357	0,00%	0,133	-0,20	0,40	-0,08	1,88	1,88	-2.084,39%	-2.915,61%	0,21	35,38%	-50,73%	0	-9.943.000	-0,56	-8,79%	1,48	1.445.700
GAZO4	2,32	0,31	-0,03	-1,411	0,00%	0,205	-0,46	0,86	-0,03	1,03	1,03	-164,00%	-454,48%	0,35	25,06%	-10,61%	0	-102.667.000	-0,01	-28,21%	0,17	3.380.240
ASSM3	7,12	0,33	-0,17	-9,754	0,00%	0,155	-0,23	0,47	-0,09	1,95	1,95	-2.084,39%	-2.915,61%	0,21	35,38%	-50,73%	0	-9.943.000	-0,56	-8,79%	1,48	1.687.440
BELG4	1.370,00	0,36	0,07	0,062	0,00%	0,044	0,29	0,23	2,59	0,40	0,40	27,70%	19,46%	1,97	22,04%	18,59%	0	13.495.400.000	0,17	48,47%	0,18	891.860.000
BELG3	1.375,50	0,36	0,07	0,063	0,00%	0,044	0,29	0,23	2,60	0,41	0,41	27,70%	19,46%	1,97	22,04%	18,59%	0	13.495.400.000	0,17	48,47%	0,18	895.441.000
AGEN33	0,16	0,39	-0,03	0,000	0,00%	0,066	-0,17	0,11	-0,02	3,73	3,61	0,00%	0,00%	0,09	87,67%	-8,85%	0	-1.112.630.000	-1,11	-87,03%	3,50	38.833.000
TRPN3	0,71	0,44	0,54	0,263	104,74%	0,399	0,59	0,36	0,59	-0,35	-0,35	72,28%	59,29%	3,61	523,01%	122,35%	0	59.358.000	0,00	5,77%	-0,72	32.163.000
SLED3	3,21	0,45	-0,08	0,416	0,00%	0,480	-0,20	-0,44	-0,07	-0,96	-1,18	-93,81%	92,72%	0,12	-2.259,94%	-18,07%	0	-381.277.000	-0,09	-48,69%	-0,63	30.928.400
GAZO3	3,40	0,45	-0,05	-2,068	0,00%	0,301	-0,67	1,26	-0,04	1,43	1,43	-164,00%	-454,48%	0,35	25,06%	-10,61%	0	-102.667.000	-0,01	-28,21%	0,17	4.953.800
FCAP3	0,62	0,52	0,11	0,000	0,00%	0,089	0,00	-6,18	0,00	-15,27	-15,27	0,00%	0,00%	0,00	0,00%	21,83%	0	107.134.000	0,00	0,00%	-9,09	12.056.500
IGBR3	175,99	0,56	-0,34	30,247	0,00%	1,035	-0,99	-3,70	-0,29	-7,85	-8,21	-817,12%	5.379,32%	0,33	-57,99%	-60,10%	10.393	-650.957.000	-0,54	13,97%	-4,34	219.988.000
FCAP4	0,70	0,58	0,13	0,000	0,00%	0,100	0,00	-6,98	0,00	-16,07	-16,07	0,00%	0,00%	0,00	0,00%	21,83%	0	107.134.000	0,00	0,00%	-9,09	13.612.200
MWET4	12,10	0,76	0,95	0,089	0,00%	0,071	-1,35	-0,72	-0,13	-2,64	-3,09	-12,31%	11,75%	0,88	-11,58%	125,56%	3.741	26.192.000	3,22	14,92%	-2,25	24.901.800
MWET3	12,50	0,78	0,98	0,092	0,00%	0,073	-1,40	-0,75	-0,14	-2,67	-3,12	-12,31%	11,75%	0,88	-11,58%	125,56%	61	26.192.000	3,22	14,92%	-2,25	25.725.000
HOOT4	3,49	0,79	-1,06	0,394	0,00%	0,129	-0,91	1,20	-0,12	0,95	0,80	32,85%	49,86%	0,53	11,19%	-134,34%	35.652	-60.396.000	-0,02	51,78%	-0,21	64.118.300
TARP11	18,02	0,82	0,25	26,009	0,00%	0,245	0,00	197,74	0,00	195,29	195,29	13,15%	3.170,05%	0,00	0,00%	29,89%	0	678.212.000	0,00	-71,36%	-2,45	166.301.000
MNDL4	0,38	0,99	0,02	0,004	0,00%	0,003	-0,03	0,03	-0,01	4,48	3,93	11,55%	0,39%	0,84	8,30%	2,33%	0	163.739.000	3,06	15,71%	3,90	3.769.980
EBEN4	17,51	0,99	0,64	0,108	0,00%	0,079	-0,81	0,54	-0,14	3,41	2,89	20,15%	10,90%	0,76	17,97%	65,00%	0	1.064.010.000	4,28	5,58%	2,44	684.496.000
NORD3	6,40	1,07	-0,35	16,689	0,00%	2,151	-0,34	-71,58	-0,30	-135,65	-135,65	-23,32%	1.564,51%	0,02	-3,03%	-32,34%	1.413	-122.821.000	-0,31	11,89%	-64,07	42.374.400
BNBR4	27,01	1,14	0,19	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	16,79%	0	13.951.300.000	0,00	14,11%	""	2.665.890.000
LIGT3	5,18	1,17	0,37	0,130	0,00%	0,076	0,91	1,37	-0,15	5,94	3,63	9,44%	11,05%	1,42	7,02%	31,50%	3.894.230	5.218.460.000	1,82	2,07%	2,79	1.929.840.000
TSPP4	9,05	1,24	0,37	0,188	0,00%	0,162	-4,02	0,85	-0,65	1,30	1,30	22,01%	15,20%	0,89	23,92%	29,88%	0	9.816.290.000	0,35	13,06%	0,44	3.626.460.000
APTI4	3.500,00	1,30	0,26	1,737	0,00%	0,131	0,33	-11,58	-4,84	-4,69	-8,87	-15,00%	133,80%	6,54	-1,41%	19,97%	0	256.379.000	0,23	20,75%	13,06	66.500.000
SYNE3	5,38	1,50	0,76	0,605	121,77%	0,261	0,88	1,68	-5,19	2,52	2,17	36,05%	48,61%	5,21	17,95%	50,87%	2.757.830	1.073.780.000	0,76	3,68%	0,72	821.225.000
CTKA4	31,00	1,62	35,17	0,275	0,00%	0,272	0,97	2,72	-0,81	7,99	6,28	10,10%	16,94%	1,74	13,24%	2.165,09%	19.980	5.469.000	80,27	15,18%	4,14	192.355.000
MTBR3	0,99	1,64	0,55	0,115	0,00%	0,141	3,94	1,53	-3,77	-0,82	-0,66	7,53%	7,04%	1,05	38,32%	33,77%	0	2.691.020.000	0,41	7,01%	-1,88	1.487.760.000
CPFG4	12,26	1,67	0,62	0,442	0,00%	0,151	-3,99	0,74	-0,39	0,95	0,85	59,95%	42,84%	0,78	22,22%	36,99%	0	3.614.430.000	0,42	11,45%	0,19	2.228.730.000
ESCE3	172,00	1,69	0,60	0,186	0,00%	0,108	0,23	0,98	1,09	4,21	3,47	19,03%	11,03%	2,09	13,81%	35,54%	0	1.684.870.000	2,74	7,22%	2,66	1.010.670.000
CPFG3	12,65	1,72	0,64	0,456	0,00%	0,156	-4,12	0,76	-0,40	0,97	0,88	59,95%	42,84%	0,78	22,22%	36,99%	0	3.614.430.000	0,42	11,45%	0,19	2.299.630.000
TSPP3	12,60	1,72	0,51	0,262	0,00%	0,225	-5,59	1,19	-0,91	1,63	1,63	22,01%	15,20%	0,89	23,92%	29,88%	0	9.816.290.000	0,35	13,06%	0,44	5.049.000.000
MTBR4	1,05	1,74	0,59	0,122	0,00%	0,149	4,18	1,62	-4,00	-0,73	-0,58	7,53%	7,04%	1,05	38,32%	33,77%	0	2.691.020.000	0,41	7,01%	-1,88	1.577.930.000
CEDO4	20,64	1,87	0,67	0,199	0,00%	0,219	2,79	1,09	-0,84	3,02	2,69	18,24%	10,67%	1,24	22,55%	35,77%	27.612	309.019.000	1,23	12,62%	1,72	206.400.000
PLIM4	0,59	1,89	0,03	0,020	0,00%	0,016	-0,51	0,17	-0,05	1,50	0,65	11,93%	1,55%	0,80	10,95%	1,72%	0	6.812.390.000	0,28	66,63%	0,58	221.086.000
CYRE4	8,50	1,98	0,37	0,410	0,00%	0,154	0,39	2,24	3,96	4,24	4,04	18,31%	17,29%	3,27	8,13%	18,54%	0	8.894.660.000	0,67	18,94%	1,91	3.264.000.000
CTKA3	38,00	1,99	43,11	0,337	0,00%	0,334	1,19	3,34	-1,00	8,60	6,76	10,10%	16,94%	1,74	13,24%	2.165,09%	1.258	5.469.000	80,27	15,18%	4,14	235.790.000
TBLE6	10,65	2,03	0,77	0,775	0,00%	0,173	-116,43	1,55	-0,28	5,07	4,25	49,90%	38,35%	0,99	12,43%	37,98%	0	11.266.700.000	2,10	-3,26%	2,95	8.689.630.000
CLSC5	39,01	2,10	0,41	0,141	0,00%	0,115	1,77	1,44	-0,28	4,49	3,37	9,80%	6,72%	1,28	9,47%	19,50%	0	3.671.280.000	1,14	2,88%	2,29	1.504.690.000
CEDO3	25,00	2,26	0,81	0,241	0,00%	0,265	3,38	1,32	-1,02	3,25	2,90	18,24%	10,67%	1,24	22,55%	35,77%	6.519	309.019.000	1,23	12,62%	1,72	250.000.000
TBLE5	12,00	2,29	0,87	0,873	0,00%	0,195	-131,19	1,75	-0,32	5,27	4,42	49,90%	38,35%	0,99	12,43%	37,98%	0	11.266.700.000	2,10	-3,26%	2,95	9.791.130.000
MMAQ3	2.550,01	2,46	0,34	0,072	0,00%	0,180	0,54	-6,25	0,56	-3,91	-8,86	-1,15%	2,92%	1,71	-5,07%	13,98%	0	273.791.000	0,11	20,95%	5,29	94.350.400
MMAQ4	2.550,01	2,46	0,34	0,072	7,36%	0,180	0,54	-6,25	0,56	-3,91	-8,86	-1,15%	2,92%	1,71	-5,07%	13,98%	0	273.791.000	0,11	20,95%	5,29	94.350.400
FIGE3	12,03	2,47	0,17	0,000	0,38%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	6,70%	0	171.597.000	0,00	18,58%	""	28.438.900
CTPC4	6,50	2,48	0,03	0,000	0,00%	0,003	0,00	-0,55	0,00	-2,44	-2,44	0,00%	0,00%	0,00	0,00%	1,41%	0	2.411.000	0,00	-6,10%	-1,90	84.377
AHEB3	45,00	2,56	1,57	0,529	0,00%	0,691	1,39	2,80	9,55	2,17	2,06	18,87%	20,68%	4,61	32,46%	61,47%	3.151	244.413.000	0,02	44,82%	-0,60	384.480.000
MNPR4	4,63	2,73	-0,11	0,093	0,00%	0,088	-0,09	0,56	-0,07	0,55	0,48	16,52%	3,40%	0,36	16,56%	-3,86%	0	-311.861.000	0,00	7,95%	-0,01	32.873.000
AHEB5	50,00	2,84	1,75	0,588	0,00%	0,768	1,55	3,12	10,61	2,48	2,36	18,87%	20,68%	4,61	32,46%	61,47%	122	244.413.000	0,02	44,82%	-0,60	427.200.000
ELPL4	15,98	2,93	0,56	0,154	0,00%	0,109	-0,91	0,97	-0,19	3,05	2,31	15,88%	5,23%	0,65	13,30%	19,10%	0	5.629.270.000	1,39	5,07%	1,58	3.155.520.000
MARI3	2,93	3,04	0,76	0,346	0,00%	0,384	0,95	4,99	1,65	4,89	4,89	6,94%	11,37%	2,23	10,67%	25,13%	0	706.711.000	0,32	11,89%	-0,10	540.594.000
AHEB6	55,00	3,13	1,92	0,647	0,00%	0,845	1,70	3,43	11,67	2,80	2,65	18,87%	20,68%	4,61	32,46%	61,47%	646	244.413.000	0,02	44,82%	-0,60	469.920.000
VBBR3	18,27	3,21	1,00	0,119	10,31%	0,417	1,18	4,50	-7,37	6,77	6,03	2,64%	3,70%	3,04	12,59%	31,23%	207.602.000	20.385.000.000	1,02	18,79%	2,03	20.444.100.000
VTRU3	6,95	3,23	0,36	0,435	0,00%	0,160	2,04	1,26	-0,38	3,84	2,97	34,44%	13,48%	2,29	14,10%	11,29%	2.264.770	2.558.220.000	0,92	27,51%	1,99	932.495.000
STBP11	14,40	3,35	3,76	0,857	0,00%	0,449	13,76	2,10	-0,67	3,78	3,10	40,88%	25,56%	1,18	25,63%	112,19%	0	661.359.000	4,12	29,80%	1,38	2.488.810.000
PRIO3	39,58	3,44	1,37	2,470	0,00%	0,636	8,32	5,32	-1,62	8,08	5,88	46,46%	71,73%	2,16	13,08%	39,74%	340.999.000	25.924.200.000	0,87	65,49%	2,01	35.477.400.000
JHSF3	4,33	3,45	0,54	1,835	7,84%	0,222	1,64	5,48	-0,90	10,97	9,65	33,51%	53,58%	1,75	4,58%	15,78%	14.322.400	5.413.240.000	0,83	4,12%	4,84	2.950.130.000
CAMB4	6,25	3,46	0,94	0,603	0,00%	0,716	2,35	2,74	3,05	2,32	2,04	22,03%	17,45%	2,82	31,04%	27,17%	0	281.302.000	0,01	31,08%	-0,37	264.219.000
BGIP4	26,49	3,53	0,64	0,000	12,19%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	18,11%	55.986	810.042.000	0,00	2,15%	""	517.164.000
BOBR3	1,00	3,57	275,96	0,169	0,00%	0,283	-15,43	1,28	-0,61	2,56	2,26	13,24%	4,73%	0,97	33,33%	7.721,50%	0	944.000	400,27	10,55%	1,13	260.510.000
BGIP3	27,10	3,61	0,65	0,000	10,84%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	18,11%	2.543	810.042.000	0,00	2,15%	""	529.073.000
PTPA3	76,50	3,69	1,14	0,505	0,00%	0,375	2,28	3,63	-1,27	7,06	5,33	13,93%	13,69%	1,79	13,27%	30,85%	0	1.201.690.000	1,59	18,08%	2,59	1.368.360.000
PTPA4	80,00	3,86	1,19	0,528	0,00%	0,392	2,38	3,79	-1,33	7,23	5,45	13,93%	13,69%	1,79	13,27%	30,85%	0	1.201.690.000	1,59	18,08%	2,59	1.430.960.000
BALM4	12,67	3,93	0,70	0,639	5,66%	0,433	0,91	4,32	1,25	2,23	1,90	14,79%	15,05%	2,83	14,80%	17,76%	7.550	177.960.000	0,09	6,09%	-1,78	124.166.000
PINE4	4,44	3,95	0,83	0,000	10,75%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	21,04%	631.954	1.227.210.000	0,00	44,80%	""	1.020.510.000
PINE3	4,51	4,01	0,84	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	21,04%	21.510	1.227.210.000	0,00	44,80%	""	1.036.600.000
HETA4	5,70	4,02	-0,01	0,706	0,00%	0,247	-0,75	0,77	-0,01	87,26	87,26	91,14%	17,56%	0,23	31,93%	-0,21%	152	-350.829.000	-0,93	25,81%	86,48	2.907.000
CAML3	4,01	4,03	0,40	0,117	7,31%	0,118	0,39	2,07	-1,14	8,49	6,11	5,69%	2,92%	2,04	7,67%	9,80%	8.278.070	3.553.010.000	1,74	13,76%	4,62	1.403.500.000
VINE3	17,20	4,04	0,65	0,577	0,00%	0,340	1,38	4,52	7,60	7,40	5,54	12,76%	14,42%	1,91	8,62%	16,14%	0	1.118.520.000	0,60	2,21%	2,16	729.091.000
CMIG4	10,09	4,06	1,05	0,725	10,28%	0,483	-15,09	4,03	-1,44	5,43	4,56	17,98%	17,88%	0,86	13,14%	26,00%	149.370.000	27.377.800.000	0,45	10,56%	1,17	28.875.400.000
CLSC3	75,99	4,09	0,80	0,275	4,99%	0,225	3,45	2,81	-0,54	5,85	4,39	9,80%	6,72%	1,28	9,47%	19,50%	3.910	3.671.280.000	1,14	2,88%	2,29	2.931.090.000
COCE5	24,50	4,10	0,37	0,226	4,03%	0,132	-0,74	1,40	-0,31	5,25	3,56	16,10%	5,51%	0,54	10,52%	9,05%	367.444	5.139.620.000	1,06	8,21%	2,61	1.907.450.000
CSRN3	13,60	4,10	1,46	0,595	17,29%	0,382	5,43	2,33	-0,74	4,93	4,16	25,55%	14,49%	1,47	18,49%	35,68%	0	1.561.000.000	1,86	6,59%	2,19	2.285.810.000
DAYC4	8,90	4,12	0,71	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	17,33%	0	3.009.030.000	0,00	8,15%	""	2.149.030.000
VINE5	17,64	4,14	0,67	0,592	0,00%	0,349	1,41	4,64	7,80	7,52	5,63	12,76%	14,42%	1,91	8,62%	16,14%	0	1.118.520.000	0,60	2,21%	2,16	747.742.000
REDE4	2,90	4,15	1,42	0,342	0,00%	0,204	2,61	1,67	-0,40	5,01	4,04	20,47%	11,23%	1,38	14,51%	34,30%	0	4.303.730.000	3,66	9,98%	2,70	6.119.940.000
LIGH3	16,66	4,17	1,22	0,484	0,00%	0,317	7,15	7,44	-0,62	12,11	6,47	6,50%	11,61%	1,24	5,17%	29,32%	0	5.359.140.000	1,05	2,44%	2,49	6.544.870.000
ISAE4	22,21	4,18	0,74	1,837	10,63%	0,338	3,13	3,23	-0,96	5,42	5,37	56,81%	44,60%	2,43	11,39%	17,75%	60.175.500	19.714.600.000	0,67	17,96%	2,16	14.633.800.000
COCE3	25,10	4,20	0,38	0,231	3,70%	0,136	-0,75	1,44	-0,32	5,29	3,58	16,10%	5,51%	0,54	10,52%	9,05%	749	5.139.620.000	1,06	8,21%	2,61	1.954.160.000
BNBR3	99,95	4,21	0,71	0,000	5,72%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	16,79%	14.929	13.951.300.000	0,00	14,11%	""	9.865.070.000
FRAS4	5,79	4,25	0,70	0,394	0,00%	0,321	0,99	2,57	3,40	2,98	2,37	15,34%	9,45%	2,05	17,93%	16,57%	0	2.218.850.000	0,50	22,15%	0,33	1.563.390.000
ENGI4	7,12	4,30	0,94	0,483	8,15%	0,211	4,85	2,50	-0,44	6,56	5,11	19,37%	13,75%	1,23	9,89%	21,93%	170.759	17.279.500.000	2,03	11,34%	3,17	16.300.700.000
RANI4	5,50	4,33	0,97	0,811	0,00%	0,364	1,79	3,64	-1,29	6,62	4,30	22,30%	18,71%	2,49	12,62%	22,28%	0	1.366.540.000	1,23	9,51%	1,94	1.319.060.000
CLSC4	81,45	4,39	0,86	0,295	5,12%	0,241	3,70	3,01	-0,57	6,06	4,54	9,80%	6,72%	1,28	9,47%	19,50%	205.108	3.671.280.000	1,14	2,88%	2,29	3.141.690.000
BAZA3	89,25	4,42	0,77	0,000	7,40%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	17,33%	207.719	6.531.090.000	0,00	13,86%	""	5.003.180.000
HBOR3	1,88	4,45	0,17	0,198	4,84%	0,038	0,25	1,19	-0,24	8,35	7,29	16,61%	12,83%	1,52	3,43%	3,89%	866.223	1.452.150.000	1,37	8,64%	6,25	251.640.000
COGN3	2,09	4,46	0,32	0,614	0,00%	0,162	2,25	2,02	-0,65	4,86	3,59	30,46%	15,52%	1,61	8,93%	7,10%	89.768.400	12.395.700.000	0,55	6,00%	2,10	3.922.110.000
ALLD3	6,90	4,48	0,41	0,118	34,03%	0,187	0,59	4,95	1,16	5,54	3,95	2,38%	2,64%	1,83	6,81%	9,16%	290.659	1.588.990.000	0,32	3,38%	0,42	651.457.000
ECOR3	5,86	4,51	1,19	0,413	3,32%	0,139	-1,75	1,15	-0,20	5,69	4,46	36,05%	9,25%	0,67	14,23%	26,38%	23.718.100	3.427.360.000	5,85	27,76%	3,56	4.080.520.000
CSRN5	15,10	4,56	1,63	0,660	17,13%	0,425	6,03	2,58	-0,82	5,18	4,37	25,55%	14,49%	1,47	18,49%	35,68%	0	1.561.000.000	1,86	6,59%	2,19	2.537.920.000
BMEB3	32,80	4,57	1,65	0,000	6,17%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	36,02%	4.973	2.088.310.000	0,00	23,46%	""	3.438.490.000
BBAS3	28,35	4,61	0,90	0,000	9,23%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	19,49%	596.579.000	180.879.000.000	0,00	25,55%	""	162.469.000.000
POMO3	4,89	4,63	1,38	0,647	12,07%	0,588	2,15	3,97	18,47	4,80	4,29	16,28%	14,22%	1,84	20,99%	29,80%	2.720.190	4.026.610.000	0,81	27,04%	0,74	5.556.370.000
